Shortname,Name,Area scaling factor
alb,Albania,0.762
aut,Austria,0.997
bel,Belgium,1.138
bul,Bulgaria,0.619
blr,Belarus,0.975
cro,Croatia,1.215
cze,Czech,0.944
den,Denmark,1.153
est,Estonia,1.027
fin,Finland,1
fra,France,1.029
ger,Germany,1.018
hun,Hungary,0.906
ire,Ireland,1.049
ita,Italy,0.884
lat,Latvia,0.983
lit,Lithuania,0.906
lux,Luxembourg,1.211
mol,Moldova,1.029
nla,Netherlands,0.819
nor,Norway,0.984
pol,Poland,1.321
por,Portugal,0.864
rom,Romania,0.904
slo,Slovenia,0.98
slr,Slovakia,0.927
spa,Spain,1.261
swe,Sweden,0.911
swi,Switzerland,0.997
tur,Turkey,1.086
uka,UKingdom,1.066
ukr,Ukraine,1.529
